,b,M,delay,angle
0,598400000.0,1.989e+29,100.0,0.0
1,598400000.0,1.989e+30,100.0,0.0
2,598400000.0,9.945e+30,100.0,0.0
3,598400000.0,1.989e+31,100.0,0.0
4,1496000000.0,1.989e+29,100.0,0.0
5,1496000000.0,1.989e+30,100.0,0.0
6,1496000000.0,9.945e+30,100.0,0.0
7,1496000000.0,1.989e+31,100.0,0.0
8,14960000000.0,1.989e+29,100.0,0.0
9,14960000000.0,1.989e+30,100.0,0.0
10,14960000000.0,9.945e+30,100.0,0.0
11,14960000000.0,1.989e+31,100.0,0.0
12,149600000000.0,1.989e+29,100.0,0.0
13,149600000000.0,1.989e+30,100.0,0.0
14,149600000000.0,9.945e+30,100.0,0.0
15,149600000000.0,1.989e+31,100.0,0.0
